filepath,tags
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230424-FranconianWineCellar_ROW5594868438_UHD.jpg,"20230424,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,franconianwinecellar,row5594868438,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230317-BallyvooneyCove_ROW5905528136_UHD.jpg,".thumbs,20230317,ballyvooneycove,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,row5905528136,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230318-MarsTars_ROW6080159799_UHD.jpg,".thumbs,20230318,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,marstars,row6080159799,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230319-BarnOwlWinter_ROW1460850406_UHD.jpg,".thumbs,20230319,barnowlwinter,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,row1460850406,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230322-LakePowellAerial_ROW6879678211_UHD.jpg,".thumbs,20230322,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,lakepowellaerial,row6879678211,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230323-ChavarocheWinter_ROW7074402150_UHD.jpg,".thumbs,20230323,bingwallpaper,chavarochewinter,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,row7074402150,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230324-WildGarlic_ROW9262672440_UHD.jpg,".thumbs,20230324,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,row9262672440,uhd,wildgarlic"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230325-CecilBrewerStaircase_ROW9372140819_UHD.jpg,".thumbs,20230325,bingwallpaper,cecilbrewerstaircase,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,row9372140819,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230326-WildAnza_ROW9424619205_UHD.jpg,".thumbs,20230326,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,row9424619205,uhd,wildanza"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230327-NYCClouds_ROW9479364107_UHD.jpg,".thumbs,20230327,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,nycclouds,row9479364107,uhd"
